step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
238000	238	4.51885	27113.1	7107.28	4464.25	1860.25	1628.37	20205.6	670
239000	239	4.56161	27369.6	6845.8	4691.83	1922.22	1650.69	20732.7	670
240000	240	4.62828	27769.7	6826.87	4779.59	1920.52	1935.45	20542.7	671
241000	241	4.63287	27797.2	7075.3	4749.99	1947.42	3130.46	20897.8	674
242000	242	4.5692	27415.2	6885.92	4454.69	1872.99	2824.9	20600.3	677
243000	243	4.69556	28173.4	7133.45	4654.9	1910.25	2196.31	20994.6	679
244000	244	4.58755	27525.3	7130.61	4668.66	1878.58	2786.26	20768.1	681
245000	245	4.66313	27978.8	6785.68	4826.98	1991.7	2716.25	20584.5	683
246000	246	4.58451	27507.1	7103.94	4371.34	1967.4	1595.37	21056.6	683
247000	247	4.61082	27664.9	7099.79	4464.77	2016.54	3514.13	20773.6	686
248000	248	4.69496	28169.7	6844.01	4804.69	1931.51	1642.82	21326.2	686
249000	249	4.64322	27859.3	7163.83	4604.71	1926.85	1841.33	20558.1	687
250000	250	4.50983	27059	7344.42	4852.6	2039.86	1863.87	20603.5	688
251000	251	4.61509	27690.6	7186.65	4564.78	2075.96	1566.98	20705.2	688
252000	252	4.56216	27372.9	7114.86	4640.58	2036.43	1800.74	20578.6	689
253000	253	4.61474	27688.4	7060.91	4642.84	1868.81	2961.48	20528.5	694
254000	254	4.54734	27284	6762.16	4521.8	2070.19	1582.1	20392.4	694
255000	255	4.58052	27483.1	6955.79	4686.65	2087.59	2964.81	20798.9	697
256000	256	4.59895	27593.7	7132.12	4506.93	2025.51	1979.93	20605.6	698
257000	257	4.66031	27961.9	7282.6	5098.71	1972.96	2992.38	20828.7	701
258000	258	4.68214	28092.8	7298.76	5299.72	2036.68	3578.03	20530	705
259000	259	4.5926	27555.6	7091.28	4511.85	2024.51	2363.34	20457.2	706
260000	260	4.74541	28472.5	7031.51	4732.15	2063.99	3013.09	20596.7	710
261000	261	4.67364	28041.8	7319.3	4525.57	2191.58	2810.09	20878.4	712
262000	262	4.67029	28021.7	7105.72	4681.7	1967.18	3610.5	20498.7	717
263000	263	4.68514	28110.8	7401.62	4580.74	2028.18	2300.24	20753.3	718
264000	264	4.59	27540	7066.25	4638.38	1931.82	2894.39	21039.5	720
265000	265	5.01953	30117.2	7317.1	5328.44	1970.31	3036.62	20816.7	722
266000	266	4.71832	28309.9	6728.21	4695.25	2108.44	2586.36	20414	724
267000	267	4.68244	28094.6	7009.85	4659.98	2130.21	2691.06	20473.3	726
268000	268	4.5688	27412.8	7233.53	4407.89	2198.47	3096.24	20624.3	728
269000	269	4.59747	27584.8	7381.38	4632.4	2103.45	2405.78	20248.1	729
270000	270	4.60537	27632.2	7111.87	4907.25	2191.88	2687.55	20386.7	731
271000	271	4.56336	27380.2	7021.25	4733.94	2208.69	2695.27	20293.2	733
272000	272	4.55189	27311.3	7211.53	4831.39	2237.36	2503.66	20638	735
273000	273	4.61822	27709.3	7392.16	4737.39	2246.24	2209.62	20717.9	736
274000	274	4.60123	27607.4	7426.59	4860.09	2137.89	2578.28	20073.3	738
275000	275	4.59501	27570	7271.18	4691.9	2272.26	2765.94	20158.7	741
276000	276	4.63488	27809.3	6969.21	4844.55	2163.22	2565.77	20613.4	743
