# t cr num_loops avg_loops
2.280000000000000000e+05 1.758000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.290000000000000000e+05 1.755000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.300000000000000000e+05 1.756000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.310000000000000000e+05 1.754000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.320000000000000000e+05 1.757000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.330000000000000000e+05 1.756000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.340000000000000000e+05 1.758000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.350000000000000000e+05 1.760000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.360000000000000000e+05 1.760000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.370000000000000000e+05 1.758000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.380000000000000000e+05 1.758000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.390000000000000000e+05 1.761000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.400000000000000000e+05 1.763000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.410000000000000000e+05 1.763000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.420000000000000000e+05 1.764000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.430000000000000000e+05 1.765000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.440000000000000000e+05 1.764000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.450000000000000000e+05 1.762000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.460000000000000000e+05 1.762000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.470000000000000000e+05 1.763000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.480000000000000000e+05 1.765000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.490000000000000000e+05 1.767000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.500000000000000000e+05 1.764000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.510000000000000000e+05 1.764000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.520000000000000000e+05 1.768000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.530000000000000000e+05 1.769000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.540000000000000000e+05 1.768000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.550000000000000000e+05 1.768000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.560000000000000000e+05 1.768000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.570000000000000000e+05 1.770000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.580000000000000000e+05 1.770000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
2.590000000000000000e+05 1.771000000000000000e+03 6.000000000000000000e+00 1.066666666666666607e+01
