# cr len_gsub pn pdi
1.677000000000000000e+03 3.270000000000000000e+02 6.116207951070336435e+00 2.475880500000008588e+00
1.680000000000000000e+03 3.240000000000000000e+02 6.172839506172839386e+00 2.465478000000009384e+00
1.681000000000000000e+03 3.230000000000000000e+02 6.191950464396285270e+00 2.458837500000008891e+00
1.683000000000000000e+03 3.210000000000000000e+02 6.230529595015576128e+00 2.458699500000008697e+00
1.686000000000000000e+03 3.180000000000000000e+02 6.289308176100629311e+00 2.453211000000008468e+00
1.689000000000000000e+03 3.150000000000000000e+02 6.349206349206348854e+00 2.505510000000009452e+00
1.691000000000000000e+03 3.130000000000000000e+02 6.389776357827476438e+00 2.492106000000008592e+00
1.693000000000000000e+03 3.110000000000000000e+02 6.430868167202572039e+00 2.488000000000008871e+00
1.694000000000000000e+03 3.100000000000000000e+02 6.451612903225806051e+00 2.484649999999998027e+00
1.697000000000000000e+03 3.070000000000000000e+02 6.514657980456026287e+00 2.493760999999986794e+00
1.700000000000000000e+03 3.040000000000000000e+02 6.578947368421052211e+00 2.531863999999983239e+00
1.703000000000000000e+03 3.010000000000000000e+02 6.644518272425249172e+00 2.541192499999981091e+00
1.704000000000000000e+03 3.000000000000000000e+02 6.666666666666666963e+00 2.533049999999981150e+00
1.705000000000000000e+03 2.990000000000000000e+02 6.688963210702341122e+00 2.534473499999982060e+00
1.707000000000000000e+03 2.970000000000000000e+02 6.734006734006734440e+00 2.554051499999981267e+00
1.708000000000000000e+03 2.960000000000000000e+02 6.756756756756757021e+00 2.546487999999981433e+00
1.712000000000000000e+03 2.920000000000000000e+02 6.849315068493150527e+00 2.527989999999980419e+00
1.714000000000000000e+03 2.900000000000000000e+02 6.896551724137930606e+00 2.519229999999980762e+00
1.715000000000000000e+03 2.890000000000000000e+02 6.920415224913495145e+00 2.512276999999980553e+00
