# cr num_clusters num_clusters2 size_max_cluster pn mw mn pdi
6.570000000000000000e+02 1.343000000000000000e+03 4.090000000000000000e+02 7.000000000000000000e+00 1.489203276247207830e+00 2.039999999999968061e+00 1.489203276247207830e+00 1.369859999999978539e+00
6.660000000000000000e+02 1.334000000000000000e+03 4.140000000000000000e+02 7.000000000000000000e+00 1.499250374812593600e+00 2.052999999999974623e+00 1.499250374812593600e+00 1.369350999999983109e+00
6.780000000000000000e+02 1.322000000000000000e+03 4.170000000000000000e+02 7.000000000000000000e+00 1.512859304084720025e+00 2.077999999999986080e+00 1.512859304084720025e+00 1.373557999999990953e+00
6.900000000000000000e+02 1.310000000000000000e+03 4.160000000000000000e+02 7.000000000000000000e+00 1.526717557251908497e+00 2.118000000000004768e+00 1.526717557251908497e+00 1.387290000000003021e+00
6.990000000000000000e+02 1.301000000000000000e+03 4.230000000000000000e+02 7.000000000000000000e+00 1.537279016141429588e+00 2.132000000000011664e+00 1.537279016141429588e+00 1.386866000000007704e+00
7.190000000000000000e+02 1.281000000000000000e+03 4.280000000000000000e+02 7.000000000000000000e+00 1.561280249804839926e+00 2.177000000000032465e+00 1.561280249804839926e+00 1.394368500000020772e+00
7.250000000000000000e+02 1.275000000000000000e+03 4.260000000000000000e+02 7.000000000000000000e+00 1.568627450980392135e+00 2.207000000000042483e+00 1.568627450980392135e+00 1.406962500000027205e+00
7.360000000000000000e+02 1.264000000000000000e+03 4.290000000000000000e+02 9.000000000000000000e+00 1.582278481012658222e+00 2.244000000000045070e+00 1.582278481012658222e+00 1.418208000000028557e+00
7.410000000000000000e+02 1.259000000000000000e+03 4.260000000000000000e+02 9.000000000000000000e+00 1.588562351072279499e+00 2.263000000000045642e+00 1.588562351072279499e+00 1.424558500000028705e+00
7.440000000000000000e+02 1.256000000000000000e+03 4.260000000000000000e+02 7.000000000000000000e+00 1.592356687898089262e+00 2.263000000000045642e+00 1.592356687898089262e+00 1.421164000000028516e+00
7.510000000000000000e+02 1.249000000000000000e+03 4.230000000000000000e+02 7.000000000000000000e+00 1.601281024819855903e+00 2.297000000000048114e+00 1.601281024819855903e+00 1.434476500000030130e+00
7.570000000000000000e+02 1.243000000000000000e+03 4.260000000000000000e+02 7.000000000000000000e+00 1.609010458567980750e+00 2.308000000000049567e+00 1.609010458567980750e+00 1.434422000000030728e+00
7.690000000000000000e+02 1.231000000000000000e+03 4.300000000000000000e+02 7.000000000000000000e+00 1.624695369618196494e+00 2.326000000000050694e+00 1.624695369618196494e+00 1.431653000000031373e+00
7.700000000000000000e+02 1.230000000000000000e+03 4.300000000000000000e+02 7.000000000000000000e+00 1.626016260162601590e+00 2.324000000000050026e+00 1.626016260162601590e+00 1.429260000000030839e+00
7.700000000000000000e+02 1.230000000000000000e+03 4.290000000000000000e+02 7.000000000000000000e+00 1.626016260162601590e+00 2.325000000000049916e+00 1.626016260162601590e+00 1.429875000000030649e+00
7.770000000000000000e+02 1.223000000000000000e+03 4.300000000000000000e+02 7.000000000000000000e+00 1.635322976287816754e+00 2.344000000000053596e+00 1.635322976287816754e+00 1.433356000000032937e+00
7.810000000000000000e+02 1.219000000000000000e+03 4.350000000000000000e+02 8.000000000000000000e+00 1.640689089417555424e+00 2.354000000000053383e+00 1.640689089417555424e+00 1.434763000000032429e+00
7.890000000000000000e+02 1.211000000000000000e+03 4.360000000000000000e+02 8.000000000000000000e+00 1.651527663088356634e+00 2.378000000000053404e+00 1.651527663088356634e+00 1.439879000000032327e+00
7.950000000000000000e+02 1.205000000000000000e+03 4.370000000000000000e+02 8.000000000000000000e+00 1.659751037344398439e+00 2.388000000000052747e+00 1.659751037344398439e+00 1.438770000000031635e+00
7.980000000000000000e+02 1.202000000000000000e+03 4.400000000000000000e+02 8.000000000000000000e+00 1.663893510815307897e+00 2.394000000000053419e+00 1.663893510815307897e+00 1.438794000000032103e+00
8.070000000000000000e+02 1.193000000000000000e+03 4.390000000000000000e+02 1.000000000000000000e+01 1.676445934618608469e+00 2.446000000000054353e+00 1.676445934618608469e+00 1.459039000000032393e+00
8.080000000000000000e+02 1.192000000000000000e+03 4.400000000000000000e+02 1.000000000000000000e+01 1.677852348993288611e+00 2.449000000000054023e+00 1.677852348993288611e+00 1.459604000000032098e+00
8.140000000000000000e+02 1.186000000000000000e+03 4.410000000000000000e+02 1.000000000000000000e+01 1.686340640809443459e+00 2.463000000000053369e+00 1.686340640809443459e+00 1.460559000000031693e+00
8.140000000000000000e+02 1.186000000000000000e+03 4.390000000000000000e+02 1.000000000000000000e+01 1.686340640809443459e+00 2.467000000000054705e+00 1.686340640809443459e+00 1.462931000000032400e+00
8.210000000000000000e+02 1.179000000000000000e+03 4.410000000000000000e+02 1.000000000000000000e+01 1.696352841391009392e+00 2.481000000000054939e+00 1.696352841391009392e+00 1.462549500000032365e+00
8.210000000000000000e+02 1.179000000000000000e+03 4.440000000000000000e+02 1.000000000000000000e+01 1.696352841391009392e+00 2.478000000000054381e+00 1.696352841391009392e+00 1.460781000000032082e+00
8.250000000000000000e+02 1.175000000000000000e+03 4.440000000000000000e+02 1.000000000000000000e+01 1.702127659574468099e+00 2.491000000000056502e+00 1.702127659574468099e+00 1.463462500000033195e+00
