step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
261000	261	4.46293	26777.6	245.369	5324.37	4169.21	0	0	25774	0
262000	262	4.30228	25813.7	249.003	4970.66	4379.17	0	0	25704.7	0
263000	263	4.46425	26785.5	248.399	4987.7	4392.27	0	0	25790.8	0
264000	264	4.39136	26348.1	255.044	5017.3	4662.27	0	0	25732	0
265000	265	4.42793	26567.6	247.28	5260.32	4206.17	0	0	25821.9	0
266000	266	4.42562	26553.7	241.128	5145.74	4534.43	0	0	25192.6	0
267000	267	4.44891	26693.5	240.861	5281.7	4478.38	0	0	25206.9	0
268000	268	4.37498	26249.9	232.199	5394.95	4559.65	0	0	25676.7	0
269000	269	4.30285	25817.1	243.33	5373.48	4373.98	0	0	25842.1	0
270000	270	4.35578	26134.7	248.411	5296.21	4244.94	0	0	25464.7	0
271000	271	4.41303	26478.2	252.975	5147.05	4569.15	0	0	25586.2	0
272000	272	4.46138	26768.3	253.72	5048.78	4187.15	0	0	25518.1	0
273000	273	4.37362	26241.7	246.652	5151.48	4487.56	0	0	25134.5	0
274000	274	4.40609	26436.5	252.78	4918.95	4586.04	0	0	25810.1	0
275000	275	4.42803	26568.2	242.706	5023.63	4500.24	0	0	25290.1	0
276000	276	4.44774	26686.5	250.18	5006.67	4764.19	0	0	25626.1	0
277000	277	4.46841	26810.4	254.21	4814.81	4422.32	0	0	25626	0
278000	278	4.45978	26758.7	249.61	5207.79	4502.83	0	0	25369	0
279000	279	4.41401	26484	246.007	5151.93	4559.51	0	0	25249.2	0
280000	280	4.4145	26487	244.004	5246.93	4398.22	0	0	25201.6	0
281000	281	4.56194	27371.6	246.379	5078.83	4289.54	0	0	25526	0
282000	282	4.38938	26336.3	258.445	5329.59	4574.21	0	0	25333	0
283000	283	4.37455	26247.3	246.275	5043.38	4425.64	0	0	25768.9	0
284000	284	4.34284	26057.1	255.461	5295.4	4435.3	0	0	25727.4	0
285000	285	4.43307	26598.4	251.452	5203.67	4481.7	0	0	25777.4	0
286000	286	4.41971	26518.3	255.252	4978.92	4435.25	0	0	25752.1	0
287000	287	4.43387	26603.2	251.109	5107.45	4488.22	0	0	25199.2	0
288000	288	4.42266	26535.9	263.119	5018.69	4518.79	0	0	25604.7	0
289000	289	4.47803	26868.2	252.964	5382.9	4441.45	0	0	25469.1	0
290000	290	4.4387	26632.2	247.874	5136.54	4455.45	0	0	25855	0
291000	291	4.47562	26853.7	239.685	5279.7	4278.37	0	0	25317.4	0
292000	292	4.39501	26370.1	235.428	5054.71	4529.98	0	0	25778.4	0
293000	293	4.42603	26556.2	239.687	5072.15	4559.45	0	0	25717.8	0
294000	294	4.4396	26637.6	241.825	5149.34	4388.77	0	0	25845.5	0
295000	295	4.41421	26485.2	236.113	5137.75	4376.1	0	0	25244.8	0
296000	296	4.31423	25885.4	246.43	5239.31	4734.8	0	0	25409.8	0
297000	297	4.45543	26732.6	248.495	5099.07	4564.35	0	0	25247.8	0
298000	298	4.46465	26787.9	239.91	4998.61	4570.95	0	0	25387.1	0
299000	299	4.40987	26459.2	247.437	5072.69	4526.74	0	0	25615.5	0
300000	300	4.44492	26669.5	251.212	5300.67	4446.07	0	0	25858.9	0
301000	301	4.43912	26634.7	251.374	5061.99	4471.93	0	0	25942	0
302000	302	4.46163	26769.8	251.225	5429.68	4370.16	0	0	25489.4	0
303000	303	4.4475	26685	262.81	5447.63	4313.16	0	0	25411.6	0
304000	304	4.39728	26383.7	242.783	5390.3	4290.44	0	0	25510.2	0
305000	305	4.42818	26569.1	247.833	5277.82	4381.02	0	0	25510.6	0
306000	306	4.49387	26963.2	240.413	5647.82	4388.73	0	0	25227.1	0
307000	307	4.48446	26906.7	248.466	5157.33	4438.59	0	0	25501.1	0
308000	308	4.33617	26017	248.038	4963.47	4458.18	0	0	25799.7	0
309000	309	4.42779	26566.7	249.201	5096.97	4268.97	0	0	25803	0
310000	310	4.42697	26561.8	247.113	5190.88	4256.51	0	0	25737.3	0
311000	311	4.47963	26877.8	243.188	5080.77	4297.52	0	0	25539.6	0
312000	312	4.40942	26456.5	247.331	5166.23	4482.02	0	0	25521.9	0
313000	313	4.45024	26701.4	252.749	5170.19	4354.6	0	0	25261.5	0
314000	314	4.44492	26669.5	258.317	5113.58	4190.48	0	0	25892.6	0
