step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	cr_5	count_0	Fmax
186000	186	2.54495	15269.7	172.852	2441.15	0	0	-11195.9	0	0	0	7215.73
187000	187	2.47202	14832.1	230.813	2411.75	0	0	-11132.5	0	0	0	7030.55
188000	188	2.42787	14567.2	133.431	2470.97	0	0	-11294.4	0	0	0	7000
189000	189	2.4628	14776.8	171.901	2530.31	0	0	-11213.5	0	0	0	7000
190000	190	2.45793	14747.6	168.698	2403.34	0	0	-11197.2	0	0	0	7000
191000	191	2.49669	14980.1	156.164	2463	0	0	-11390.8	0	0	0	7000
192000	192	2.55247	15314.8	156.884	2462.29	0	0	-11643.9	0	0	0	7067.87
193000	193	2.43459	14607.5	151.214	2544.2	0	0	-11331.3	0	0	0	7000
194000	194	2.49245	14954.7	188.18	2340.72	0	0	-11389.2	0	0	0	7000
195000	195	2.51488	15089.3	186.435	2423.35	0	0	-11304.6	0	0	0	7000
196000	196	2.44017	14641	181.784	2548.05	0	0	-11648.8	0	0	0	7000
197000	197	2.51174	15070.5	179.033	2439.21	0	0	-11561.4	0	0	0	7000
198000	198	2.50633	15038	150.691	2453.38	0	0	-11574.5	0	0	0	7000
199000	199	2.48378	14902.7	155.4	2397.05	0	0	-11416.6	0	0	0	7000
200000	200	2.50593	15035.6	172.742	2669.42	0	0	-11452.4	0	0	0	7000
201000	201	2.51278	15076.7	189.3	2381.15	0	0	-11431	0	0	0	7000
202000	202	2.5345	15207	171.29	2433.07	0	0	-11539.7	0	0	0	7000
203000	203	2.44359	14661.5	193.221	2321.05	0	0	-11604.9	0	0	0	7000
204000	204	2.50209	15012.6	144.798	2509.34	0	0	-11441.1	0	0	0	7000
205000	205	2.44739	14684.3	158.299	2473.85	0	0	-11359.3	0	0	0	7000
206000	206	2.49913	14994.8	174.79	2528.83	0	0	-11560.4	0	0	0	7000
207000	207	2.46275	14776.5	192.797	2430.37	0	0	-11474.6	0	0	0	7112.64
208000	208	2.43894	14633.6	161.81	2415.05	0	0	-11528.4	0	0	0	7000
209000	209	2.4433	14659.8	210.117	2405.6	0	0	-11489	0	0	0	7000
210000	210	2.41004	14460.2	180.23	2475.49	0	0	-11454.2	0	0	0	7411.82
211000	211	2.43534	14612	148.702	2291.25	0	0	-11666.6	0	0	0	7000
212000	212	2.50059	15003.6	175.959	2537.38	0	0	-11352	0	0	0	7000
213000	213	2.42933	14576	165.21	2459.77	0	0	-11465.7	0	0	0	7000
214000	214	2.52363	15141.8	171.7	2331.48	0	0	-11527.1	0	0	0	7000
215000	215	2.50738	15044.3	199.901	2441.12	0	0	-11561.5	0	0	0	7168.68
216000	216	2.49312	14958.7	169.215	2565.25	0	0	-11490	0	0	0	7000
217000	217	2.48613	14916.8	173.585	2347.63	0	0	-11574.6	0	0	0	7000
218000	218	2.46422	14785.3	168	2378.72	0	0	-11585.3	0	0	0	7000
219000	219	2.45317	14719	161.975	2408.83	0	0	-11619.7	0	0	0	7000
220000	220	2.52139	15128.4	222.913	2470.21	0	0	-11572.5	0	0	0	7097.3
221000	221	2.49491	14969.4	166.95	2656.57	0	0	-11417.8	0	0	0	7000
222000	222	2.51748	15104.9	179.257	2615.92	0	0	-11771.1	0	0	0	8258.34
223000	223	2.50309	15018.5	198.643	2363.77	0	0	-11598.1	0	0	0	7000
224000	224	2.55794	15347.7	192.756	2407.16	0	0	-11690	0	0	0	7000
225000	225	2.46839	14810.3	156.224	2534.1	0	0	-11461.5	0	0	0	7000
226000	226	2.43397	14603.8	211.72	2476.3	0	0	-11572	0	0	0	7000
227000	227	2.46197	14771.8	191.896	2402.84	0	0	-11457.5	0	0	0	7000
228000	228	2.47456	14847.4	142.329	2439.68	0	0	-11405.9	0	0	0	7000
229000	229	2.44633	14678	174.156	2378.92	0	0	-11442.6	0	0	0	7000
230000	230	2.46305	14778.3	140.742	2333.12	0	0	-11637.4	0	0	0	7000
231000	231	2.41527	14491.6	151.723	2430.76	0	0	-11255.3	0	0	0	7138.65
232000	232	2.48506	14910.4	207.582	2445.27	0	0	-11671.3	0	0	0	7000
233000	233	2.4802	14881.2	190.694	2527.07	0	0	-11518.5	0	0	0	7646.04
234000	234	2.49757	14985.4	183.884	2471.75	0	0	-11406.2	0	0	0	7000
235000	235	2.51	15060	170.278	2495.48	0	0	-11538.5	0	0	0	7336.08
236000	236	2.45559	14733.5	201.341	2483.57	0	0	-11874.6	0	0	0	7000
237000	237	2.46331	14779.9	169.046	2302.54	0	0	-11515.3	0	0	0	7000
238000	238	2.47391	14843.5	165.319	2534.3	0	0	-11788.7	0	0	0	7000
239000	239	2.47458	14847.5	178.378	2464.44	0	0	-11789.6	0	0	0	7109.24
240000	240	2.44938	14696.3	185.901	2522.48	0	0	-11524.9	0	0	0	7059.72
241000	241	2.50737	15044.2	178.121	2308.12	0	0	-11607.9	0	0	0	7084.64
242000	242	2.47841	14870.5	193.676	2370.56	0	0	-11082.3	0	0	0	7606.22
243000	243	2.45862	14751.7	198.264	2221.96	0	0	-11273.4	0	0	0	7000
244000	244	2.45318	14719.1	219.299	2616.07	0	0	-11522.1	0	0	0	7000
245000	245	2.44989	14699.3	182.995	2453.36	0	0	-11664.7	0	0	0	7000
246000	246	2.47678	14860.7	176.382	2500.68	0	0	-11735.4	0	0	0	7000
