step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	count_0	Fmax
245000	245	2.4758	14854.8	201.32	2570.08	0	0	-11597.2	0	0	6909.9
246000	246	2.45788	14747.3	220.032	2492.78	0	0	-11684.7	0	0	7267.5
247000	247	2.49846	14990.7	204.567	2518.9	0	0	-11471	0	0	6966.88
248000	248	2.48176	14890.6	169.906	2295.44	0	0	-11702.7	0	0	6049.61
249000	249	2.52308	15138.5	165.36	2416.45	0	0	-11381.9	0	0	6505.48
250000	250	2.48843	14930.6	158.006	2339.86	0	0	-11515.2	0	0	6715.28
251000	251	2.49328	14959.7	171.167	2455.31	0	0	-11443.3	0	0	6612.77
252000	252	2.50475	15028.5	186.638	2406.69	0	0	-11267.1	0	0	6472.84
253000	253	2.47572	14854.3	159.145	2487.43	0	0	-11578.9	0	0	6697.29
254000	254	2.48075	14884.5	179.708	2522.77	0	0	-11589.3	0	0	7332.6
255000	255	2.50801	15048.1	164.867	2430.41	0	0	-11516.1	0	0	6072.96
256000	256	2.50419	15025.2	191.291	2423.26	0	0	-11321.5	0	0	6099.79
257000	257	2.48115	14886.9	148.483	2335.64	0	0	-11389.1	0	0	6594.52
258000	258	2.50602	15036.1	196.994	2518.57	0	0	-11893.4	0	0	6758.12
259000	259	2.43452	14607.1	200.277	2608.98	0	0	-11551.6	0	0	6732.03
260000	260	2.46459	14787.5	188.461	2323.73	0	0	-11567.1	0	0	6200.67
261000	261	2.50064	15003.8	176.335	2348.26	0	0	-11265.9	0	0	7211.52
262000	262	2.4826	14895.6	143.276	2387.85	0	0	-11601.6	0	0	6329.79
263000	263	2.46679	14800.8	167.671	2446.8	0	0	-11481.9	0	0	6246.19
264000	264	2.5782	15469.2	157.44	2341.65	0	0	-11865.7	0	0	6609.23
265000	265	2.46771	14806.3	175.17	2341.96	0	0	-11699	0	0	6945.12
266000	266	2.52887	15173.2	155.865	2364.89	0	0	-11361	0	0	6888.8
267000	267	2.49157	14949.4	173.902	2452.47	0	0	-11638.3	0	0	6645.5
268000	268	2.46342	14780.5	132.314	2393.41	0	0	-11685.3	0	0	6770.04
269000	269	2.48438	14906.3	173.325	2479.97	0	0	-11624.5	0	0	6581.92
270000	270	2.42787	14567.2	157.298	2654.94	0	0	-11290.5	0	0	6780.01
271000	271	2.52299	15137.9	141.93	2428.12	0	0	-11379.1	0	0	6151.68
272000	272	2.51012	15060.7	206.127	2409.76	0	0	-11469	0	0	7262.69
273000	273	2.50611	15036.7	152.517	2505.12	0	0	-11580.2	0	0	6447.43
274000	274	2.473	14838	164.354	2525.7	0	0	-11717	0	0	6006.93
275000	275	2.46334	14780	177.424	2432.31	0	0	-11442.2	0	0	7526.6
276000	276	2.39125	14347.5	163.06	2468.37	0	0	-11794.6	0	0	6652.99
277000	277	2.48766	14925.9	178.191	2443.25	0	0	-11512.6	0	0	6626.68
278000	278	2.42658	14559.5	163.407	2447.88	0	0	-11539.5	0	0	6298.62
279000	279	2.44439	14666.4	176.787	2541.25	0	0	-11658.4	0	0	7650.82
280000	280	2.50772	15046.3	201.837	2520.28	0	0	-11354.6	0	0	6847.6
281000	281	2.52904	15174.2	159.719	2596.03	0	0	-11836.6	0	0	6690.1
282000	282	2.46353	14781.2	213.672	2352.4	0	0	-11762.7	0	0	7559.69
283000	283	2.46548	14792.9	183.805	2388.23	0	0	-11437.1	0	0	6402.62
284000	284	2.46933	14816	150.215	2528.47	0	0	-11573.9	0	0	7478.74
285000	285	2.506	15036	185.341	2547.55	0	0	-11510.9	0	0	6806.41
286000	286	2.46434	14786.1	188.616	2476	0	0	-11742.2	0	0	6338.05
287000	287	2.41953	14517.2	186.202	2674.33	0	0	-11590.3	0	0	7636.28
288000	288	2.43448	14606.9	147.211	2405.84	0	0	-11649	0	0	6128.16
289000	289	2.50876	15052.5	145.503	2246.43	0	0	-11699.2	0	0	7062.63
290000	290	2.4477	14686.2	216.8	2372.16	0	0	-11444.9	0	0	6733.66
291000	291	2.46769	14806.1	183.422	2584.01	0	0	-11335.7	0	0	7506.96
