step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	tab-scaled_0	cr_3	count_0	res_fpl_0
211000	211	4.40204	26412.3	0	5341.36	4468.9	0	15149	0	10349.3	0	0	-nan
212000	212	4.36864	26211.8	0	5028.92	4407.88	0	15584	0	9893.52	0	0	-nan
213000	213	4.55315	27318.9	0	5448.85	4150.62	0	15309.5	0	10169.8	0	0	-nan
214000	214	4.45962	26757.7	0	5206.88	4466.24	0	15707.1	0	10182.8	0	0	-nan
215000	215	4.4636	26781.6	0	5332	4317.11	0	15790.6	0	9755.9	0	0	-nan
216000	216	4.40413	26424.8	0	5181.2	4363.59	0	15763.3	0	9874.04	0	0	-nan
217000	217	4.45344	26720.7	0	5170.39	4404.36	0	15810.8	0	10180.3	0	0	-nan
218000	218	4.52698	27161.9	0	5033.89	4564.39	0	15643.2	0	10311.5	0	0	-nan
219000	219	4.4896	26937.6	0	5493.55	4339.77	0	15496.1	0	10242.6	0	0	-nan
220000	220	4.39651	26379.1	0	5573.03	4450.54	0	15527.5	0	10218.5	0	0	-nan
221000	221	4.38915	26334.9	0	5451.2	4611.15	0	15798	0	10113.5	0	0	-nan
222000	222	4.4866	26919.6	0	5191.44	4572.65	0	15617.5	0	9826.84	0	0	-nan
223000	223	4.55929	27355.7	0	5211.63	4272.04	0	15345	0	10139.9	0	0	-nan
224000	224	4.45029	26701.7	0	5233.19	4388.52	0	15752.1	0	10187.8	0	0	-nan
225000	225	4.37619	26257.1	0	5058.88	4425.46	0	15751.8	0	9924.3	0	0	-nan
226000	226	4.49757	26985.4	0	5358.9	4304.87	0	15733.4	0	10563.2	0	0	-nan
227000	227	4.47611	26856.7	0	5469.82	4533.94	0	15304.7	0	10514.8	0	0	-nan
228000	228	4.47256	26835.4	0	5200.74	4425.54	0	15564.8	0	9898.15	0	0	-nan
229000	229	4.41275	26476.5	0	5194.91	4363.57	0	15151.8	0	10171.6	0	0	-nan
230000	230	4.35137	26108.2	0	5174.57	4530.78	0	15192.8	0	10220.6	0	0	-nan
231000	231	4.36892	26213.5	0	5317.6	4530.77	0	15609.2	0	10158.3	0	0	-nan
